,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
157,202315,tt0210567,movie,Beautiful,Beautiful,0,2000.0,112.0,"Comedy,Drama",40,4,4,1500000,56000,0,0,0,0
158,202364,tt0210616,movie,Center Stage,Center Stage,0,2000.0,115.0,"Drama,Music,Romance",39,4,4,18000000,17200925,0,0,0,0
159,202665,tt0210945,movie,Remember the Titans,Remember the Titans,0,2000.0,113.0,"Biography,Drama,Sport",40,4,4,30000000,136706683,0,0,0,0
160,202875,tt0211181,movie,102 Dalmatians,102 Dalmatians,0,2000.0,100.0,"Adventure,Comedy,Family",35,18,4,85000000,183611771,0,0,0,0
161,203118,tt0211443,movie,Jason X,Jason X,0,2001.0,91.0,"Action,Horror,Sci-Fi",40,8,4,11000000,16000000,0,0,0,0
162,203139,tt0211465,movie,Knockaround Guys,Knockaround Guys,0,2001.0,92.0,"Crime,Drama,Thriller",38,8,8,15000000,12000000,0,0,0,0
163,203585,tt0211933,movie,Awake,Awake,0,2007.0,84.0,"Crime,Drama,Mystery",40,4,4,86000000,14373825,0,0,0,0
164,203961,tt0212338,movie,Meet the Parents,Meet the Parents,0,2000.0,108.0,"Comedy,Romance",40,16,4,55000000,330444045,0,0,0,0
165,203969,tt0212346,movie,Miss Congeniality,Miss Congeniality,0,2000.0,109.0,"Action,Comedy,Crime",40,12,4,45000000,212000000,0,0,0,0
166,204330,tt0212720,movie,A.I. Artificial Intelligence,A.I. Artificial Intelligence,0,2001.0,146.0,"Drama,Sci-Fi",39,11,4,100000000,235926552,0,0,0,0
167,204584,tt0212985,movie,Hannibal,Hannibal,0,2001.0,131.0,"Crime,Drama,Thriller",39,12,4,87000000,351692268,0,0,0,0
168,204741,tt0213149,movie,Pearl Harbor,Pearl Harbor,0,2001.0,183.0,"Action,Drama,History",40,4,4,140000000,449220945,0,0,0,0
169,205357,tt0213790,movie,The Ladies Man,The Ladies Man,0,2000.0,84.0,Comedy,40,12,4,24000000,13700000,0,0,0,0
170,206615,tt0215129,movie,Road Trip,Road Trip,0,2000.0,93.0,Comedy,40,8,4,16000000,119754278,0,0,0,0
